DATE,CPIAUCNS
2004-01-01,185.2
2004-02-01,186.2
2004-03-01,187.4
2004-04-01,188.0
2004-05-01,189.1
2004-06-01,189.7
2004-07-01,189.4
2004-08-01,189.5
2004-09-01,189.9
2004-10-01,190.9
2004-11-01,191.0
2004-12-01,190.3
2005-01-01,190.7
2005-02-01,191.8
2005-03-01,193.3
2005-04-01,194.6
2005-05-01,194.4
2005-06-01,194.5
2005-07-01,195.4
2005-08-01,196.4
2005-09-01,198.8
2005-10-01,199.2
2005-11-01,197.6
2005-12-01,196.8
2006-01-01,198.3
2006-02-01,198.7
2006-03-01,199.8
2006-04-01,201.5
2006-05-01,202.5
2006-06-01,202.9
2006-07-01,203.5
2006-08-01,203.9
2006-09-01,202.9
2006-10-01,201.8
2006-11-01,201.5
2006-12-01,201.8
2007-01-01,202.416
2007-02-01,203.49900000000002
2007-03-01,205.352
2007-04-01,206.68599999999998
2007-05-01,207.949
2007-06-01,208.352
2007-07-01,208.299
2007-08-01,207.917
2007-09-01,208.49
2007-10-01,208.93599999999998
2007-11-01,210.17700000000002
2007-12-01,210.03599999999997
2008-01-01,211.08
2008-02-01,211.69299999999998
2008-03-01,213.528
2008-04-01,214.82299999999998
2008-05-01,216.632
2008-06-01,218.815
2008-07-01,219.96400000000003
2008-08-01,219.08599999999998
2008-09-01,218.783
2008-10-01,216.57299999999998
2008-11-01,212.425
2008-12-01,210.22799999999998
2009-01-01,211.143
2009-02-01,212.19299999999998
2009-03-01,212.709
2009-04-01,213.24
2009-05-01,213.856
2009-06-01,215.69299999999998
2009-07-01,215.351
2009-08-01,215.834
2009-09-01,215.96900000000002
2009-10-01,216.17700000000002
2009-11-01,216.33
2009-12-01,215.949
2010-01-01,216.687
